"","Industry","Year","Tariff"
"139","Metals","1999",9.20452262591524
"140","Minerals","1999",5.04490430124304
"141","Miscellaneous","1999",11.3646197742642
"142","Transportation","1999",21.5850235323744
"143","Vegetable","1999",7.28867566286323
"144","Agricultural Raw Materials","2000",4.41344452930747
"145","Animal","2000",5.10864915625143
"146","Capital goods","2000",4.47523602186829
"147","Consumer goods","2000",12.1285588272353
"148","Food Products","2000",5.81014247098823
"149","Fuels","2000",3.7406728997869
"150","Mach and Elec","2000",4.44802526979165
"151","Manufactures","2000",9.28377877796513
"152","Metals","2000",9.03670558074811
"153","Minerals","2000",4.55011701361812
"154","Miscellaneous","2000",10.6068138496699
"155","Transportation","2000",20.511289774783
"156","Vegetable","2000",4.44234868130515
"157","Agricultural Raw Materials","2001",4.41399824428148
"158","Animal","2001",4.3146313714768
"159","Capital goods","2001",5.85336453987791
"160","Consumer goods","2001",10.0405803193411
"161","Food Products","2001",7.07582859740878
"162","Fuels","2001",3.20987654034568
"163","Mach and Elec","2001",4.19813950145666
"164","Manufactures","2001",8.04362628637399
"165","Metals","2001",7.66027198323238
"166","Minerals","2001",4.06302100764165
"167","Miscellaneous","2001",9.62639268975161
"168","Transportation","2001",16.6789736475902
"169","Vegetable","2001",5.41548513493676
"170","Agricultural Raw Materials","2002",3.71854057608689
"171","Animal","2002",4.74911050045038
"172","Capital goods","2002",3.90528943268713
"173","Consumer goods","2002",10.7912989501606
"174","Food Products","2002",8.83910205382371
"175","Fuels","2002",4.30003068648423
"176","Mach and Elec","2002",3.09394443961714
"177","Manufactures","2002",8.43087063469295
"178","Metals","2002",8.69032688418354
"179","Minerals","2002",3.73613759848641
"180","Miscellaneous","2002",8.48434422846974
"181","Transportation","2002",10.8110676738307
"182","Vegetable","2002",4.89175981199446
"183","Agricultural Raw Materials","2003",3.9050290001137
"184","Animal","2003",4.64334505220861
"185","Capital goods","2003",3.93143419015448
"186","Consumer goods","2003",9.61703059188948
"187","Food Products","2003",8.19157109983122
"188","Fuels","2003",3.5079083427952
"189","Mach and Elec","2003",4.05810548373829
"190","Manufactures","2003",8.09505968158179
"191","Metals","2003",8.55459233558491
"192","Minerals","2003",4.2065473526656
"193","Miscellaneous","2003",8.17789839003747
"194","Transportation","2003",16.7839955088111
"195","Vegetable","2003",5.25711720516863
"196","Agricultural Raw Materials","2004",6.1792242229481
"197","Animal","2004",4.86980894580373
"198","Capital goods","2004",3.12705459261153
"199","Consumer goods","2004",10.8092403548069
"200","Food Products","2004",6.70609887094497
"201","Fuels","2004",3.23975100447357
"202","Mach and Elec","2004",3.01084859234396
"203","Manufactures","2004",8.21615051830745
"204","Metals","2004",9.81353995585126
"205","Minerals","2004",3.93349024539302
"206","Miscellaneous","2004",8.41903469763047
"207","Transportation","2004",21.0673699399277
"208","Vegetable","2004",4.98756254820493
"209","Agricultural Raw Materials","2005",3.89884765592334
"210","Animal","2005",3.95590519691938
"211","Capital goods","2005",3.65335603746725
"212","Consumer goods","2005",10.22953276125
"213","Food Products","2005",6.90541821506658
"214","Fuels","2005",3.4284296864555
"215","Mach and Elec","2005",3.40699729714242
"216","Manufactures","2005",7.94924275739222
"217","Metals","2005",8.59305630396861
"218","Minerals","2005",4.39890146020039
"219","Miscellaneous","2005",8.05268750872356
"220","Transportation","2005",14.1778837690423
